date,iso_code,nuts2,name,supplier,additional_dose
2021-11-04,ES-IB,ES53,Islas Baleares,Unknown,7308
2021-11-04,ES-CN,ES70,Canarias,Unknown,28097
2021-11-04,ES-CB,ES13,Cantabria,Unknown,19038
2021-11-04,ES-CL,ES41,Castilla y León,Unknown,62850
2021-11-04,ES-CM,ES42,Castilla-La Mancha,Unknown,44614
2021-11-04,ES-CT,ES51,Cataluña,Unknown,172837
2021-11-04,ES-VC,ES52,Comunidad Valenciana,Unknown,147269
2021-11-04,ES-EX,ES43,Extremadura,Unknown,82955
2021-11-04,ES-GA,ES11,Galicia,Unknown,102296
2021-11-04,ES-RI,ES23,La Rioja,Unknown,6901
2021-11-04,ES-MD,ES30,Madrid,Unknown,171884
2021-11-04,ES-MC,ES62,Murcia,Unknown,12456
2021-11-04,ES-NC,ES22,Navarra,Unknown,29533
2021-11-04,ES-PV,ES21,País Vasco,Unknown,78540
2021-11-04,ES-CE,ES63,Ceuta,Unknown,2090
2021-11-04,ES-ML,ES64,Melilla,Unknown,1378
2021-11-05,ES-AN,ES61,Andalucía,Unknown,349536
2021-11-05,ES-AR,ES24,Aragón,Unknown,35500
2021-11-05,ES-AS,ES12,Asturias,Unknown,48857
2021-11-05,ES-IB,ES53,Islas Baleares,Unknown,7393
2021-11-05,ES-CN,ES70,Canarias,Unknown,32011
2021-11-05,ES-CB,ES13,Cantabria,Unknown,21731
2021-11-05,ES-CL,ES41,Castilla y León,Unknown,62850
2021-11-05,ES-CM,ES42,Castilla-La Mancha,Unknown,57817
2021-11-05,ES-CT,ES51,Cataluña,Unknown,194004
2021-11-05,ES-VC,ES52,Comunidad Valenciana,Unknown,173451
2021-11-05,ES-EX,ES43,Extremadura,Unknown,82955
2021-11-05,ES-GA,ES11,Galicia,Unknown,112313
2021-11-05,ES-RI,ES23,La Rioja,Unknown,8707
2021-11-05,ES-MD,ES30,Madrid,Unknown,192650
2021-11-05,ES-MC,ES62,Murcia,Unknown,17385
2021-11-05,ES-NC,ES22,Navarra,Unknown,31256
2021-11-05,ES-PV,ES21,País Vasco,Unknown,86384
2021-11-05,ES-CE,ES63,Ceuta,Unknown,2221
2021-11-05,ES-ML,ES64,Melilla,Unknown,1596
2021-11-08,ES-AN,ES61,Andalucía,Unknown,374751
2021-11-08,ES-AR,ES24,Aragón,Unknown,45521
2021-11-08,ES-AS,ES12,Asturias,Unknown,53998
2021-11-08,ES-IB,ES53,Islas Baleares,Unknown,7421
2021-11-08,ES-CN,ES70,Canarias,Unknown,36297
2021-11-08,ES-CB,ES13,Cantabria,Unknown,24367
2021-11-08,ES-CL,ES41,Castilla y León,Unknown,62850
2021-11-08,ES-CM,ES42,Castilla-La Mancha,Unknown,68854
2021-11-08,ES-CT,ES51,Cataluña,Unknown,215457
2021-11-08,ES-VC,ES52,Comunidad Valenciana,Unknown,195222
2021-11-08,ES-EX,ES43,Extremadura,Unknown,91687
2021-11-08,ES-GA,ES11,Galicia,Unknown,123420
2021-11-08,ES-RI,ES23,La Rioja,Unknown,10038
2021-11-08,ES-MD,ES30,Madrid,Unknown,215117
2021-11-08,ES-MC,ES62,Murcia,Unknown,35428
2021-11-08,ES-NC,ES22,Navarra,Unknown,35801
2021-11-08,ES-PV,ES21,País Vasco,Unknown,94424
2021-11-08,ES-CE,ES63,Ceuta,Unknown,2328
2021-11-08,ES-ML,ES64,Melilla,Unknown,1764
2021-11-10,ES-AN,ES61,Andalucía,Unknown,423738
2021-11-10,ES-AR,ES24,Aragón,Unknown,58251
2021-11-10,ES-AS,ES12,Asturias,Unknown,66836
2021-11-10,ES-IB,ES53,Islas Baleares,Unknown,21624
2021-11-10,ES-CN,ES70,Canarias,Unknown,45443
2021-11-10,ES-CB,ES13,Cantabria,Unknown,29580
2021-11-10,ES-CL,ES41,Castilla y León,Unknown,62850
2021-11-10,ES-CM,ES42,Castilla-La Mancha,Unknown,92901
2021-11-10,ES-CT,ES51,Cataluña,Unknown,251052
2021-11-10,ES-VC,ES52,Comunidad Valenciana,Unknown,246293
2021-11-10,ES-EX,ES43,Extremadura,Unknown,97034
2021-11-10,ES-GA,ES11,Galicia,Unknown,145918
2021-11-10,ES-RI,ES23,La Rioja,Unknown,13504
2021-11-10,ES-MD,ES30,Madrid,Unknown,241805
2021-11-10,ES-MC,ES62,Murcia,Unknown,49527
2021-11-10,ES-NC,ES22,Navarra,Unknown,41453
2021-11-10,ES-PV,ES21,País Vasco,Unknown,111135
2021-11-10,ES-CE,ES63,Ceuta,Unknown,3772
2021-11-10,ES-ML,ES64,Melilla,Unknown,2025
2021-11-11,ES-AN,ES61,Andalucía,Unknown,457908
2021-11-11,ES-AR,ES24,Aragón,Unknown,58251
2021-11-11,ES-AS,ES12,Asturias,Unknown,72592
2021-11-11,ES-IB,ES53,Islas Baleares,Unknown,27796
2021-11-11,ES-CN,ES70,Canarias,Unknown,50099
2021-11-11,ES-CB,ES13,Cantabria,Unknown,32422
2021-11-11,ES-CL,ES41,Castilla y León,Unknown,62850
2021-11-11,ES-CM,ES42,Castilla-La Mancha,Unknown,107036
2021-11-11,ES-CT,ES51,Cataluña,Unknown,275862
2021-11-11,ES-VC,ES52,Comunidad Valenciana,Unknown,271095
2021-11-11,ES-EX,ES43,Extremadura,Unknown,101398
2021-11-11,ES-GA,ES11,Galicia,Unknown,157322
2021-11-11,ES-RI,ES23,La Rioja,Unknown,15078
2021-11-11,ES-MD,ES30,Madrid,Unknown,260148
2021-11-11,ES-MC,ES62,Murcia,Unknown,57210
2021-11-11,ES-NC,ES22,Navarra,Unknown,45187
2021-11-11,ES-PV,ES21,País Vasco,Unknown,118770
2021-11-11,ES-CE,ES63,Ceuta,Unknown,3847
2021-11-11,ES-ML,ES64,Melilla,Unknown,2152
2021-11-12,ES-AN,ES61,Andalucía,Unknown,488859
2021-11-12,ES-AR,ES24,Aragón,Unknown,80659
2021-11-12,ES-AS,ES12,Asturias,Unknown,77430
2021-11-12,ES-IB,ES53,Islas Baleares,Unknown,34829
2021-11-12,ES-CN,ES70,Canarias,Unknown,55216
2021-11-12,ES-CB,ES13,Cantabria,Unknown,35049
2021-11-12,ES-CL,ES41,Castilla y León,Unknown,105839
2021-11-12,ES-CM,ES42,Castilla-La Mancha,Unknown,120765
